Logistic Regression,Random Forest,Gradient Boosting (GBM),SVM,KNN,Setting,Dataset
0.5007433838834374,0.5710674992566162,0.5078798691644365,0.5275052036871841,0.4818614332441272,W/o Low,uniswap.csv
0.44384546271338726,0.7577118897873615,0.7047020065887991,0.4693021862833184,0.3999700509134472,W/o Low,usd_coin.csv
0.41736778846153844,0.4402043269230769,0.43239182692307687,0.5345552884615384,0.4822716346153846,W/o Low,vechain.csv
0.44940476190476186,0.5254464285714286,0.5190476190476191,0.475297619047619,0.5351190476190476,W/o Low,xrp.csv
0.4852459016393442,0.5268256333830104,0.4706408345752608,0.42444113263785394,0.5655737704918032,W/o Open,aave.csv
0.47548566142460685,0.5229725562750539,0.5161887141535615,0.5050878815911194,0.4870490286771508,W/o Open,algorand.csv
0.5865102639296188,0.5654936461388074,0.4965786901270772,0.5219941348973607,0.6143695014662757,W/o Open,aptos.csv
0.6538461538461539,0.717032967032967,0.5412087912087912,0.47390109890109894,0.5782967032967032,W/o Open,arbitrum.csv
0.4166666666666667,0.492739898989899,0.47885101010101006,0.42708333333333337,0.4829545454545454,W/o Open,avalanche.csv
0.4773809523809524,0.5193452380952381,0.5994047619047619,0.5098214285714286,0.5127976190476191,W/o Open,axie_infinity.csv
0.45763221153846156,0.47115384615384615,0.5085637019230769,0.48828125,0.4834735576923077,W/o Open,binance_coin.csv
0.4634873323397914,0.49687034277198217,0.4703427719821162,0.5484351713859911,0.44888226527570796,W/o Open,bitcoin.csv
0.5640796907523045,0.5074338388343741,0.5631876300921795,0.49925661611656263,0.44573297650906935,W/o Open,bitcoin_cash.csv
0.45460030165912524,0.46591251885369533,0.44117647058823534,0.4920060331825038,0.5390648567119156,W/o Open,cardano.csv
0.47151995126408774,0.440755406640268,0.4489795918367347,0.5105086810843741,0.5167529698446542,W/o Open,chainlink.csv
0.5180327868852459,0.5122205663189271,0.4566318926974665,0.5093889716840536,0.509090909090909,W/o Open,cosmos.csv
